time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss
4,0,138,437,34.5,72.82968025,,,,,,
8,0,273,456,34.125,61.71008025,,,,,,
12,0,416,459,34.666666666666664,61.56840758333334,,,,,,
16,1,562,467,35.125,60.30330543749999,,,,,,
20,1,705,473,35.25,59.113455849999994,,,,,,
24,1,849,470,35.375,59.65521833333333,,,,,,
28,2,995,468,35.535714285714285,58.60752332142857,,,,,,
32,4,1144,233,35.75,57.4951035,108,-143.64130682694284,0.0009926466666666668,0.9163975637210043,-11.147220460992111,541.156364842465
36,8,1281,154,35.583333333333336,59.537740583333324,253,-261.17471771240236,0.00099168,0.8011610865592956,-24.986177110671996,516.0630836486816
40,11,1434,120,35.85,66.26027365,401,-400.80362094976965,0.0009906933333333333,0.7040365552290891,-34.71055744855832,416.6803138928536
44,15,1581,102,35.93181818181818,68.14012536363636,543,-507.3259959501379,0.0009897466666666666,0.6216995488194859,-46.47470036674948,155.54393364401426
48,19,1739,88,36.229166666666664,65.29713810416666,707,-583.4494504061612,0.0009886533333333333,0.5397937175902453,-59.697253313931554,148.16636900468305
52,23,1906,81,36.65384615384615,61.20136296153846,869,-643.4195614769345,0.0009875733333333334,0.46797093961920055,-66.64536521548317,98.03106680370513
56,27,2066,75,36.892857142857146,60.71962789285715,1031,-682.3147769504124,0.0009864933333333333,0.40863681667380863,-71.20405048794217,113.29978868696425
60,30,2218,72,36.96666666666667,61.99996900000001,1186,-706.2571796618009,0.00098546,0.3614330323118913,-78.44663519608348,106.17206593563682
64,34,2393,68,37.390625,67.84392140624999,1356,-716.7969818115234,0.0009843266666666667,0.3177495409141887,-78.34836248918013,100.0562704259699
68,38,2529,66,37.19117647058823,66.26661261764706,1501,-716.6538879394532,0.00098336,0.28401728669802345,-81.38062082926432,274.075363667806
72,41,2688,64,37.333333333333336,66.68816361111111,1651,-705.8165283203125,0.00098236,0.2558022003348281,-85.6789779663086,119.45947079542206
76,45,2850,62,37.5,65.5118704868421,1814,-688.7610626220703,0.0009812733333333333,0.2272527240216732,-86.50663909912109,78.92683486938476
80,50,3005,59,37.5625,64.754806125,1972,-655.119548034668,0.00098022,0.20282878391444684,-85.20302867889404,67.30786371231079
84,54,3154,57,37.54761904761905,64.68403882142857,2126,-634.9999389648438,0.0009791933333333333,0.1835253627276888,-81.0810635136623,83.06409387027516
88,58,3286,56,37.34090909090909,65.87478098863636,2261,-611.8490757533482,0.0009782933333333335,0.1670046031475067,-83.12522495814733,80.33586022513254
92,62,3433,55,37.31521739130435,67.72271323913043,2399,-581.1140543619791,0.0009773733333333333,0.15256944629881117,-84.01862462361653,79.29366853502061
96,66,3596,54,37.458333333333336,70.2191711875,2557,-554.643505859375,0.00097632,0.138437020406127,-80.74005737304688,53.74863147735596
100,71,3764,52,37.64,71.06507774999999,2726,-519.2430768694196,0.0009751933333333333,0.1244814990177041,-78.76712072463263,54.077598935081845
104,76,3935,51,37.97,71.4671404,2895,-491.0356663295201,0.0009740666666666666,0.11248557305052168,-75.20586613246373,38.15850539434524
108,80,4089,51,38.16,72.70198070000001,3061,-466.1232263474237,0.00097296,0.10221113193602789,-75.20259421212333,31.917398861476354
112,84,4244,50,38.28,75.05442353000001,3210,-433.77640760267104,0.0009719666666666666,0.09395583537784782,-65.67409175151103,34.09605283994932
116,88,4404,49,38.42,75.03845317999999,3376,-409.80422450474333,0.00097086,0.08575543207781655,-68.46122610909599,26.08659918648856
120,92,4555,49,38.5,79.79219262000001,3525,-388.91887383711963,0.0009698666666666666,0.07914644381717632,-59.72692851016396,31.627829300729854
124,96,4707,48,38.58,83.96444157999998,3677,-374.47045815957557,0.0009688533333333334,0.07370551031183552,-53.99048593881968,22.148863019169987
128,101,4885,48,38.9,86.79458590999998,3841,-349.38391357421875,0.00096776,0.06880852535367012,-46.143412857055665,20.888179073333742
132,107,5086,47,39.42,90.80418909999997,4038,-336.70765841737085,0.0009664466666666667,0.06414318647311658,-33.771079199654714,17.662186739396077
136,112,5251,46,39.7,93.68997644999999,4223,-319.25587310791013,0.0009652133333333334,0.060922827944159506,-24.15217978954315,17.03586118221283
140,115,5368,46,39.34,91.71652831000003,4339,-309.27684981734666,0.00096444,0.0587216018250695,-24.105789679068106,58.464009602864586
144,120,5541,46,39.6,95.66646921999998,4500,-296.46354912651907,0.0009633666666666668,0.056114566408925586,-31.925175603230795,26.50883348253038
148,125,5728,45,39.89,103.4254344,4688,-281.90505271734196,0.0009621133333333334,0.05254952063740686,-31.45635689136594,13.681646125261175
152,130,5902,45,39.96,109.38361153,4861,-273.40780448913574,0.0009609600000000001,0.049296187981963155,-25.224302983283998,11.789751768112183
156,134,6066,45,40.0,110.58307101999999,5032,-262.09286374461897,0.00095982,0.046831258629657785,-21.039913518088206,13.728803926584671
160,139,6243,44,40.25,113.16696451000001,5203,-249.2610735685929,0.00095868,0.04457058344522248,-19.99594331111597,12.155299228170644
164,144,6409,44,40.16,110.15082066999999,5376,-241.4986516440787,0.0009575266666666666,0.042973260781387,-9.638480753433413,9.723656293822497
168,148,6565,44,40.36,111.91586479000001,5531,-230.47329751039163,0.0009564933333333334,0.04175750729747307,-15.333910416334103,10.780765240009014
172,152,6725,44,40.37,114.78560628999999,5685,-222.18953333145532,0.0009554666666666667,0.03988597121758339,-16.710241134350117,10.029527810903696
176,158,6906,43,40.56,120.93803194000002,5872,-216.37118530273438,0.00095422,0.03839217722415924,-0.4222422242164612,10.676464414596557
180,162,7075,43,40.7,125.2179451,6036,-205.82118911743163,0.0009531266666666667,0.03831568025052547,-5.912335436046123,22.905927467346192
184,167,7251,43,40.97,130.37340622,6211,-201.08683634913245,0.0009519600000000001,0.037736372285804086,-7.133895607881768,12.71834014182867
188,172,7447,43,41.61,135.27637759,6400,-195.89868818010603,0.0009507,0.036745792444871396,-6.995962702498144,9.69183094647466
192,178,7657,42,42.24,139.83502093,6614,-190.3096684047154,0.0009492733333333333,0.035811767647308965,-1.5987230220011301,17.079892422471726
196,184,7834,42,42.38,140.54748827,6798,-185.85717658996583,0.0009480466666666668,0.03525625197216868,-2.6120185941457748,8.01619803905487
200,189,8002,42,42.38,146.97679897,6965,-181.93909826034155,0.0009469333333333333,0.035338873377977274,6.240125682109442,7.128764678270389
